"구분","이름/채널","플랫폼","규모(구독/평시청)","언어","연락처·링크","우선순위","메모"
"해외 유튜버","Only Roguelikes","YouTube","40,300","EN","https://youtube.com/@OnlyRoguelikes","P0","인디 로그라이크 데일리 업로드. 신작 소화량이 커서 커버 확률 높음. 자매 채널(Incremental Games)도 운영"
"해외 유튜버","AndySlapsPuzzles","YouTube","21,900","EN","https://youtube.com/@AndySlapsPuzzles","P0","'가장 멋진 인디 퍼즐게임 발굴'이 채널 정체성. 퍼즐 축에서 장르 일치도 최상위"
"해외 유튜버","Matt Plays Indies","YouTube","2,530","EN","https://youtube.com/@mattplaysindies","P0","채널 소개에 '리뷰 요청 접수 중(Requests OPEN)' 명시. 100명 중 회신 확률 가장 높은 축 — 우선 발송"
"해외 스트리머","Haelian","YouTube/Twitch","213,000","EN","https://youtube.com/@Haelian","P1","'주로 로그류 게임을 한다'는 대형 크리에이터. 회신률은 낮으나 로그라이크 시청층 규모 최대급"
"해외 유튜버","Shut Up & Sit Down","YouTube","461,000","EN","https://youtube.com/@shutupandsitdown","P1","보드게임 리뷰 최고 권위 채널. 트릭테이킹의 디지털 해석이라는 각도로 접근. 대형이라 P1"
"해외 유튜버","3 Minute Board Games","YouTube","101,000","EN","https://youtube.com/@3MBG","P1","3분 보드게임 리뷰 포맷. 짧은 GIF 소재와 궁합 좋음"
"해외 유튜버","Game Rules","YouTube","61,400","EN","https://youtube.com/@GameRulesCom","P1","카드·보드게임 룰 해설 전문. 트릭테이킹 룰 설명 수요층 직결. 게임 리뷰가 아닌 룰 콘텐츠라 각도 조정 필요"
"해외 유튜버","Icely Puzzles","YouTube","60,200","EN","https://youtube.com/@IcelyPuzzles","P1","퍼즐 게임 플레이스루 전문. 완전정보 퍼즐 설계 해설 콘텐츠 제안 적합"
"해외 유튜버","BigPasti","YouTube","21,300","EN","https://youtube.com/@BigPasti","P1","보드게임 토크 채널. SNS 미사용, 유튜브 단일 창구"
"해외 유튜버","kovray","YouTube","12,600","EN","https://youtube.com/@kovray","P1","보드게임 추천 채널. 취향 매칭형 소개 포맷"
"해외 유튜버","Fix Gaming Channel INDIE","YouTube","12,200","EN","https://youtube.com/@fixgamingchannelindie","P1","인디게임 무편집 로우 플레이 전용 채널. 데모 그대로 노출에 유리"
"해외 유튜버","mantron","YouTube","9,680","EN","https://youtube.com/@yesmantron","P1","인디·신작 위주 게임 채널"
"해외 유튜버","NaveGreed","YouTube","9,450","EN","https://youtube.com/@NaveGreed","P1","슬더스 계열 플레이 채널"
"해외 유튜버","MoreMast","YouTube","8,960","EN","https://youtube.com/@MoreMastYT","P1","좋아하는 게임 가이드 제작형 채널. 룰 깊이 있는 게임에 강함"
"해외 스트리머","XecnaR","YouTube/Twitch","4,850","EN","https://youtube.com/@xecnarvods","P1","슬더스 스트리머. 공식 허가 VOD 채널 별도 운영"
"해외 유튜버","Opem","YouTube","4,510","EN","https://youtube.com/@OpemSpire","P1","슬더스2 최초 20연속 로테이팅 클리어. 하드코어 최적화 유저층 신뢰도 높음"
"해외 유튜버","Nova's Puzzle Den","YouTube","24,800","EN","https://youtube.com/@NovasPuzzleDen","P2","논리 퍼즐 풀이 채널. 비디오게임 비중이 불확실해 사전 확인 필요"
